date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:41	10634/10634	---M--	200	added ('OK')	image/png	etag:%22298a-5cee3237f5a00%22	https://mojtababagheri.ir/assets/img/lil_big.png	D:/My-Web/WEB/mojtababagheri.ir/assets/img/lil_big.png	(from https://mojtababagheri.ir/)
19:32:41	9722/9722	---M--	200	added ('OK')	image/png	etag:%2225fa-5cee3250c1480%22	https://mojtababagheri.ir/assets/img/lil_mini.png	D:/My-Web/WEB/mojtababagheri.ir/assets/img/lil_mini.png	(from https://mojtababagheri.ir/)
19:32:42	326444/326444	---M--	200	added ('OK')	image/png	etag:%224fb2c-5ce6c8888a680%22	https://mojtababagheri.ir/assets/img/color-background.png	D:/My-Web/WEB/mojtababagheri.ir/assets/img/color-background.png	(from https://mojtababagheri.ir/)
19:32:42	20489/20489	---M--	200	added ('OK')	image/png	etag:%225009-5cee38c0b4480%22	https://mojtababagheri.ir/assets/img/circle_big.png	D:/My-Web/WEB/mojtababagheri.ir/assets/img/circle_big.png	(from https://mojtababagheri.ir/)
19:32:42	14310/14310	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:40%20GMT	https://mojtababagheri.ir/portfolio/	D:/My-Web/WEB/mojtababagheri.ir/portfolio/index.html	(from https://mojtababagheri.ir/)
19:32:42	124730/124730	---M--	200	added ('OK')	image/png	etag:%221e73a-5df9d0c9c9080%22	https://mojtababagheri.ir/assets/img/header_bg.png	D:/My-Web/WEB/mojtababagheri.ir/assets/img/header_bg.png	(from https://mojtababagheri.ir/)
19:32:43	245303/245303	---M--	200	added ('OK')	image/jpeg	etag:%223be37-5f4ee0e7cb180%22	https://mojtababagheri.ir/assets/files/f202302171526067450.jpg	D:/My-Web/WEB/mojtababagheri.ir/assets/files/f202302171526067450.jpg	(from https://mojtababagheri.ir/)
19:32:43	15671/15671	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:41%20GMT	https://mojtababagheri.ir/blog/	D:/My-Web/WEB/mojtababagheri.ir/blog/index.html	(from https://mojtababagheri.ir/)
19:32:43	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Mar%202023%2016:02:41%20GMT	https://mojtababagheri.ir/assets/files/f202302171523463264.jpg/%22	D:/My-Web/WEB/mojtababagheri.ir/assets/files/f202302171523463264.jpg/_	(from https://mojtababagheri.ir/)
19:32:43	410697/410697	---M--	200	added ('OK')	image/jpeg	etag:%2264449-5f2f683c29f80%22	https://mojtababagheri.ir/assets/files/f202301231441105432.jpg	D:/My-Web/WEB/mojtababagheri.ir/assets/files/f202301231441105432.jpg	(from https://mojtababagheri.ir/)
19:32:43	47889/47889	---M--	200	added ('OK')	image/jpeg	etag:%22bb11-5f6a4bec08c17%22	https://mojtababagheri.ir/assets/files/f202303111418386063.jpg	D:/My-Web/WEB/mojtababagheri.ir/assets/files/f202303111418386063.jpg	(from https://mojtababagheri.ir/)
19:32:44	62503/62503	---M--	200	added ('OK')	image/jpeg	etag:%22f427-5f4d160fba500%22	https://mojtababagheri.ir/assets/files/f202302160513165882.jpg	D:/My-Web/WEB/mojtababagheri.ir/assets/files/f202302160513165882.jpg	(from https://mojtababagheri.ir/)
19:32:44	387587/387587	---M--	200	added ('OK')	image/jpeg	etag:%225ea03-5f4be4c065400%22	https://mojtababagheri.ir/assets/files/f202302150627214652.jpg	D:/My-Web/WEB/mojtababagheri.ir/assets/files/f202302150627214652.jpg	(from https://mojtababagheri.ir/)
19:32:44	17942/17942	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:42%20GMT	https://mojtababagheri.ir/single/smp10012/Bevaset%20Online%20Store/	D:/My-Web/WEB/mojtababagheri.ir/single/smp10012/Bevaset%20Online%20Store/index.html	(from https://mojtababagheri.ir/)
19:32:44	35534/35534	---M--	200	added ('OK')	image/jpeg	etag:%228ace-5d70096f28000%22	https://mojtababagheri.ir/assets/files/f202202011026576392.jpg	D:/My-Web/WEB/mojtababagheri.ir/assets/files/f202202011026576392.jpg	(from https://mojtababagheri.ir/)
19:32:45	45032/45032	---M--	200	added ('OK')	image/jpeg	etag:%22afe8-5d6ed27a0dc00%22	https://mojtababagheri.ir/assets/files/f202201311115452070.jpg	D:/My-Web/WEB/mojtababagheri.ir/assets/files/f202201311115452070.jpg	(from https://mojtababagheri.ir/)
19:32:45	527197/527197	---M--	200	added ('OK')	image/jpeg	etag:%2280b5d-5f28f65ef9b00%22	https://mojtababagheri.ir/assets/files/f202301181139491320.jpg	D:/My-Web/WEB/mojtababagheri.ir/assets/files/f202301181139491320.jpg	(from https://mojtababagheri.ir/)
19:32:45	105768/105768	---M--	200	added ('OK')	text/html	etag:%2219d28-5dbde26ef6880%22	https://mojtababagheri.ir/assets/fonts/fa/fa-brands-400.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-brands-400.html	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:45	18371/18371	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:43%20GMT	https://mojtababagheri.ir/single/S-1MM3342/Rooyesh%20application/	D:/My-Web/WEB/mojtababagheri.ir/single/S-1MM3342/Rooyesh%20application/index.html	(from https://mojtababagheri.ir/)
19:32:45	20923/20923	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:43%20GMT	https://mojtababagheri.ir/post/B-1MM1797/Wahts%20ui%20Design-/	D:/My-Web/WEB/mojtababagheri.ir/post/B-1MM1797/Wahts%20ui%20Design-/index.html	(from https://mojtababagheri.ir/)
19:32:46	182388/182388	---M--	200	added ('OK')	application/x-font-ttf	etag:%222c874-5dbde270ded00%22	https://mojtababagheri.ir/assets/fonts/fa/fa-brands-400.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-brands-400.ttf	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:46	4105/4105	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2017%20Mar%202023%2016:02:44%20GMT	https://mojtababagheri.ir/post/post1000003682461/Download%20New%20Music%20Behnam%20Bani%20%e2%80%93%20Kojaye%20In%20Shahri/	D:/My-Web/WEB/mojtababagheri.ir/post/post1000003682461/Download%20New%20Music%20Behnam%20Bani%20%e2%80%93%20Kojaye%20In%20Shahri/index.html	(from https://mojtababagheri.ir/)
19:32:46	430200/430200	---M--	200	added ('OK')	text/html	etag:%2269078-5dbde272c7180%22	https://mojtababagheri.ir/assets/fonts/fa/fa-duotone-900.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-duotone-900.html	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:47	424536/424536	---M--	200	added ('OK')	text/html	etag:%2267a58-5dbde270ded00%22	https://mojtababagheri.ir/assets/fonts/fa/fa-light-300.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-light-300.html	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:48	1235716/1235716	---M--	200	added ('OK')	application/x-font-ttf	etag:%2212db04-5dbde274af600%22	https://mojtababagheri.ir/assets/fonts/fa/fa-duotone-900.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-duotone-900.ttf	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:49	388900/388900	---M--	200	added ('OK')	text/html	etag:%225ef24-5dbde28021100%22	https://mojtababagheri.ir/assets/fonts/fa/fa-regular-400.woff2	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-regular-400.html	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
19:32:49	23142/23142	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:46%20GMT	https://mojtababagheri.ir/post/post1000003682/How%20to%20Create%20a%20Startup%20Website/	D:/My-Web/WEB/mojtababagheri.ir/post/post1000003682/How%20to%20Create%20a%20Startup%20Website/index.html	(from https://mojtababagheri.ir/)
19:32:52	28921/28921	---M-Z	200	added ('OK')	text/html	date:Fri,%2017%20Mar%202023%2016:02:47%20GMT	https://mojtababagheri.ir/post/post1000002230/10%20Things%20to%20Check%20Before%20Launching%20a%20Website/	D:/My-Web/WEB/mojtababagheri.ir/post/post1000002230/10%20Things%20to%20Check%20Before%20Launching%20a%20Website/index.html	(from https://mojtababagheri.ir/)
19:32:52	1100404/1100404	---M--	200	added ('OK')	application/x-font-ttf	etag:%2210ca74-5dbde28209580%22	https://mojtababagheri.ir/assets/fonts/fa/fa-light-300.ttf	D:/My-Web/WEB/mojtababagheri.ir/assets/fonts/fa/fa-light-300.ttf	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
